#{"t_start": 1769102440.7466047, "env_id": "None"}
r,l,t
18.02,48,0.900066
16.98,62,0.935596
2.2,500,1.266893
2.2,500,1.607688
16.69,71,1.657761
3.3,500,2.004024
17.43,47,2.045565
16.77,173,2.162653
16.35,85,2.225204
16.56,84,6.179776
18.32,58,6.209301
16.75,65,6.241822
16.82,88,6.317882
7.8,500,8.886794
18.07,53,8.917317
19.1,40,8.951342
21.1,270,9.15048
8.0,500,9.526343
8.3,500,13.928371
20.6,180,14.077485
17.48,52,14.114009
16.96,84,14.17256
17.48,52,14.217098
16.73,57,14.267141
17.46,64,14.313171
11.9,500,16.343209
17.11,89,16.415268
16.85,55,16.448792
16.28,72,16.507837
17.71,49,16.544361
16.88,52,16.588899
16.78,62,16.630929
23.93,357,16.895284
14.5,500,21.22996
17.57,43,21.270497
18.86,64,21.303024
24.11,369,21.576289
17.97,43,21.612289
18.16,54,21.647291
18.54,46,21.689798
14.3,500,22.08386
19.62,48,23.480959
18.12,38,23.497975
29.35,495,23.858291
18.63,47,23.901325
17.92,48,23.94136
17.79,41,28.123485
18.66,44,28.16302
17.44,66,28.22607
17.6,50,28.266608
18.12,38,28.297133
19.27,43,28.320149
18.94,46,28.358686
18.78,52,28.404226
18.1,50,28.453272
17.66,44,28.487818
18.58,92,28.560907
18.41,39,28.594938
18.3,500,28.99931
18.55,35,29.017325
16.8,500,29.404253
18.56,44,29.429268
19.11,39,29.450786
19.05,55,29.494321
18.27,43,29.538861
18.43,37,31.274679
18.07,53,31.300694
19.5,120,31.385764
18.4,60,35.479828
17.78,42,35.516859
18.4,40,35.555502
17.88,42,35.592535
18.2,50,35.619553
18.32,48,35.663092
18.74,66,35.717659
17.94,36,35.737689
18.82,48,35.785232
18.03,47,35.822258
18.21,39,35.855788
19.17,43,35.894824
26.04,196,36.051952
19.41,39,36.087481
18.04,46,36.125515
19.29,41,36.155041
18.11,49,36.18256
18.37,43,36.219087
19.9,500,36.597055
20.6,500,36.990483
18.43,37,37.012002
19.2,40,37.042527
18.48,42,41.141207
19.83,67,41.204271
22.3,500,42.589653
18.33,37,42.624687
18.86,34,42.653714
19.07,43,42.692244
21.2,500,43.062081
21.1,500,43.453438
