#{"t_start": 1769102440.7466047, "env_id": "None"}
r,l,t
16.44,76,0.922078
17.68,82,0.957639
16.89,91,1.021686
17.76,54,1.052714
18.66,194,1.173306
3.2,500,1.550618
18.31,449,1.84541
2.6,500,2.189175
17.76,64,2.247728
17.09,71,6.185282
8.6,500,8.781713
20.03,127,8.843259
18.45,105,8.903302
16.23,67,8.955848
17.22,98,9.030402
17.22,68,9.095438
18.32,38,9.115453
17.88,72,9.160988
8.4,500,9.536848
17.06,104,9.616413
17.72,48,9.655946
10.1,500,14.06247
17.41,49,14.102501
11.5,500,14.496766
-10.9,100,14.576329
19.93,97,16.284163
10.0,500,16.654062
10.9,500,17.027878
18.08,52,17.056921
18.6,80,21.087353
17.86,54,21.130381
18.58,42,21.169914
18.62,48,21.194431
18.88,72,21.259989
17.38,52,21.292513
17.51,59,21.321069
18.49,51,21.357599
18.06,54,21.39863
19.72,98,21.478226
18.43,57,21.519261
18.79,51,21.563289
19.03,67,21.615289
14.2,500,22.010338
18.52,68,22.056859
17.69,61,23.467451
18.85,45,23.493971
14.3,500,23.853291
17.08,52,23.902324
18.76,64,23.949868
17.82,58,28.154515
19.4,500,28.569414
18.79,51,28.611949
18.12,68,28.668512
19.1,500,29.047394
20.81,109,29.139483
18.44,66,29.194534
17.64,46,29.232062
17.39,61,29.276148
16.75,75,29.343204
17.95,55,29.37473
19.5,70,29.426268
19.06,44,29.449786
18.8,70,29.508833
17.24,56,31.269172
18.1,40,31.288186
18.53,47,31.312702
19.8,60,31.350735
17.94,36,31.383762
18.0,60,35.478828
17.71,49,35.520859
19.29,41,35.562005
18.7,50,35.599537
17.98,42,35.624059
21.15,135,35.732688
18.98,52,35.779723
19.1,500,36.180057
18.94,56,36.226595
19.12,38,36.257121
18.79,41,36.286647
18.84,46,36.332183
18.58,42,36.367732
21.4,500,36.737674
18.35,45,36.763716
18.15,35,36.797251
18.63,37,36.827777
18.28,72,36.879868
20.05,85,36.955957
23.8,500,42.405492
19.45,55,42.452531
18.71,39,42.487067
24.64,166,42.612173
18.84,36,42.644704
19.55,75,42.700752
18.08,42,42.724276
18.62,38,42.748294
18.8,50,42.781324
18.75,45,42.825866
18.0,40,42.8579
18.83,37,42.877915
18.97,53,42.915948
22.3,500,43.320314
19.31,39,43.351346
18.83,47,43.389385
19.1,50,43.425412
19.15,35,43.44993
24.0,500,48.042797
17.88,42,48.084343
18.63,37,48.117869
18.82,58,48.171913
18.93,37,48.193435
18.55,35,48.218457
19.2,80,48.270506
18.97,43,48.309538
19.39,41,48.346575
18.89,51,48.378603
18.18,52,48.428152
19.75,55,48.476197
18.84,36,50.049103
19.76,44,50.087637
19.56,44,50.124667
18.73,37,50.154194
19.58,42,50.180718
18.39,41,50.204239
19.77,43,50.236766
18.96,34,50.269795
19.41,59,50.312334
18.73,37,50.33736
18.34,36,50.357406
18.36,44,50.388462
22.47,93,50.454065
18.57,43,50.492599
18.55,35,50.512112
18.32,38,50.533638
18.91,49,50.56016
21.67,93,50.630716
18.95,45,50.657743
20.04,56,50.693776
18.1,40,50.731301
18.33,37,50.768844
18.69,41,50.794369
19.23,47,50.830895
29.3,500,55.374259
18.53,37,55.395275
18.98,42,55.41929
19.85,55,55.470832
21.41,79,55.544906
19.49,51,55.592955
18.9,60,55.642495
18.33,37,55.665018
20.11,49,55.710772
20.07,53,55.742335
19.05,35,55.772381
18.94,36,55.804913
19.27,33,55.834438
19.25,35,55.869471
23.38,92,55.93803
18.86,34,55.963071
18.66,34,55.997603
19.43,47,56.028129
18.55,35,56.050145
19.7,60,56.774803
19.06,34,56.799819
21.83,77,56.843357
18.99,41,56.874386
19.07,43,56.915423
21.31,69,56.959457
21.06,64,57.01704
29.4,210,57.18472
18.72,38,57.218243
20.05,65,57.26529
19.07,33,57.29682
20.26,64,57.340856
20.46,54,57.389905
19.41,39,57.42994
20.43,57,57.474988
18.67,33,61.966414
19.85,45,62.002446
20.54,66,62.068504
18.51,39,62.090523
19.59,41,62.114044
19.19,51,62.16359
19.5,40,62.197123
19.96,54,62.229646
18.95,35,62.250663
19.15,35,62.282191
19.03,47,62.326735
19.14,36,62.353259
19.77,43,62.400301
24.05,105,62.46686
18.61,39,62.502891
19.63,37,62.525947
19.51,59,62.563997
18.37,43,62.590516
19.51,39,62.62455
19.54,46,62.665586
19.49,41,62.70713
19.34,36,62.740654
45.64,436,63.093798
18.73,37,63.124325
18.7,40,63.16336
19.62,38,63.19439
19.55,35,63.224914
18.32,38,63.500151
18.25,35,63.530674
19.04,56,63.56571
20.64,66,63.622255
18.99,41,63.661292
19.58,42,63.704837
19.34,36,63.723873
19.47,43,63.759416
19.12,38,63.79194
20.13,47,63.842994
18.64,36,63.874521
18.59,41,68.093116
19.55,35,68.125644
21.22,58,68.173184
19.76,34,68.20321
45.01,449,68.581056
19.11,39,68.613086
19.05,35,68.647613
19.27,43,68.680641
19.91,49,68.711166
18.85,35,68.73769
19.37,33,68.768214
21.23,47,68.802748
20.99,61,68.845787
21.13,77,68.915857
20.28,52,68.948384
18.96,34,68.979417
18.76,34,69.009944
19.56,34,69.038468
19.14,36,69.072498
18.16,34,69.105535
19.65,45,69.138074
19.7,50,69.179616
20.2,50,69.226157
21.79,81,69.29221
36.66,324,69.548025
20.59,41,69.583562
19.64,36,69.620091
19.76,34,69.64111
19.08,42,69.670635
20.06,74,69.984816
19.68,62,74.273078
19.95,35,74.30511
19.61,49,74.33863
19.2,40,74.378662
20.28,42,74.414196
19.48,42,74.440215
19.44,36,74.470738
19.86,34,74.502266
20.28,42,74.536794
19.86,44,74.578827
20.66,44,74.610857
19.19,41,74.650891
19.28,42,74.691982
19.46,34,74.723509
19.56,34,74.758037
30.06,204,74.944696
19.19,61,75.006755
21.08,62,75.067811
19.12,38,75.103846
19.5,40,75.145882
19.42,38,75.187424
20.06,34,75.222453
19.36,34,75.250476
20.88,52,75.308035
20.68,52,75.348072
21.24,46,75.378599
20.5,50,75.420137
19.96,34,75.447661
19.13,37,75.478188
20.91,49,75.527232
20.01,39,75.56226
20.96,54,75.612304
18.91,39,75.641326
19.64,46,75.691377
19.35,45,75.732917
20.14,46,75.77195
20.32,38,75.801975
20.61,39,75.827998
20.41,49,75.874538
22.63,87,75.936093
19.81,39,75.965617
19.67,33,75.987138
19.06,44,76.03368
22.12,58,80.458266
19.35,35,80.48479
19.82,48,80.531328
19.65,35,80.560853
19.13,37,80.593391
19.74,36,80.630916
18.99,41,80.662948
18.91,39,80.690467
20.57,43,80.732001
19.92,38,80.765532
19.72,48,81.06202
18.83,37,81.084039
19.63,37,81.115063
20.44,66,81.177117
20.81,39,81.20064
18.93,37,81.222156
18.73,47,81.253683
20.59,41,81.289208
20.15,35,81.310725
19.76,34,81.333251
19.19,41,81.374285
19.47,33,81.404315
19.46,34,81.431338
19.15,45,81.469402
19.91,49,81.51995
19.44,36,81.553981
19.54,36,81.581494
19.66,34,81.613002
21.21,59,81.651001
19.04,36,81.676005
20.39,51,81.716511
19.58,42,81.759511
19.78,42,81.802021
20.24,36,81.836021
19.9,40,81.87202
21.33,57,81.930529
18.95,35,81.953532
20.14,46,81.983534
19.63,37,82.004041
19.93,37,82.038041
18.73,37,82.074041
19.41,39,82.106551
19.58,42,82.133552
23.81,109,82.241565
20.31,59,82.299278
19.48,42,82.335307
21.6,60,82.388355
19.65,35,86.733868
21.22,38,86.769897
20.81,49,86.816437
22.15,85,86.896008
20.87,33,86.925533
20.87,33,86.951055
18.76,34,86.984996
19.34,36,87.017525
20.94,36,87.049049
21.44,56,87.104609
19.34,36,87.127626
20.31,39,87.152148
27.85,145,87.277256
20.37,33,87.31229
19.64,36,87.336307
20.27,33,87.35883
20.04,56,87.410369
19.84,36,87.443405
19.76,34,87.46893
20.16,34,87.770402
20.13,37,87.796453
20.7,50,87.848001
20.96,34,87.88254
21.75,55,87.937084
19.97,33,87.972628
20.38,42,88.016668
22.47,83,88.087737
21.07,33,88.115263
19.0,40,88.158804
19.45,35,88.188334
21.54,76,88.265913
24.15,105,88.344987
19.36,34,88.371013
19.37,43,88.414042
20.42,38,88.44257
24.38,82,88.508122
19.12,38,88.548159
19.72,38,88.579186
20.55,35,88.612217
19.55,35,88.639239
19.69,41,88.678781
22.66,94,88.750844
20.99,41,88.79339
19.73,37,92.926214
20.38,42,92.958741
20.43,37,92.980262
20.05,35,93.011789
24.04,66,93.071848
20.37,33,93.097882
20.74,36,93.133904
20.55,35,93.167438
21.2,60,93.213025
19.46,34,93.244547
20.44,36,93.281078
23.33,77,93.33565
21.4,50,93.3837
20.06,34,93.416225
22.94,66,93.461267
20.39,41,93.508306
20.57,33,93.530826
19.95,35,93.550841
20.46,44,93.5924
19.95,35,93.613415
19.64,36,93.635432
20.43,37,93.666958
20.61,39,93.693482
19.45,35,93.73051
20.12,38,93.766042
21.15,35,93.796568
19.24,36,93.835603
19.82,38,93.868131
21.82,68,93.924207
20.76,34,93.950729
22.03,57,94.001275
20.77,53,94.310134
19.65,35,94.331152
20.56,34,94.358171
