#{"t_start": 1769102440.7466047, "env_id": "None"}
r,l,t
19.54,36,75.868031
19.36,44,75.900057
19.0,40,75.929585
19.15,35,75.95711
23.5,90,76.032677
26.97,133,80.522321
20.97,33,80.55385
19.65,35,80.580869
19.51,39,80.62191
19.85,35,80.652436
19.27,43,80.679457
19.13,47,80.725498
20.07,33,80.75202
19.78,42,81.051011
21.9,50,81.079533
19.93,57,81.12657
19.42,48,81.175117
20.49,41,81.19964
19.06,34,81.218654
21.88,72,81.271194
19.74,36,81.299218
20.18,42,81.32374
19.55,35,81.354269
19.96,34,81.388793
19.34,36,81.420824
20.98,52,81.460893
20.06,44,81.507439
19.17,33,81.538967
20.05,45,81.576494
20.16,34,81.606002
21.55,65,81.650001
19.86,34,81.674002
20.13,37,81.698511
20.09,41,81.739511
20.0,40,81.782514
19.33,37,81.822021
19.83,37,81.84902
20.42,48,81.896529
19.67,53,81.945529
19.24,36,81.968529
19.54,46,81.996042
18.88,42,82.029041
19.67,33,82.061042
20.41,49,82.104552
19.69,51,82.141551
20.86,44,82.187555
19.86,34,82.220061
20.58,52,82.270261
20.05,35,82.301784
19.53,47,82.343817
20.6,40,82.379848
18.96,34,86.72536
26.12,118,86.832453
18.91,39,86.868482
20.49,51,86.917026
20.61,49,86.957472
19.95,45,86.997505
20.46,34,87.030536
22.53,67,87.0981
21.03,37,87.121624
19.36,34,87.143642
19.33,37,87.174673
20.85,45,87.215703
20.19,41,87.245226
21.41,79,87.320792
20.19,41,87.346816
21.45,45,87.383354
20.27,53,87.434896
20.75,35,87.460927
23.46,84,87.798454
20.72,38,87.837491
20.6,40,87.87803
21.11,39,87.916066
19.46,34,87.950098
19.06,34,87.988137
19.96,34,88.021175
22.28,72,88.084737
20.81,59,88.139282
19.26,34,88.171821
20.25,35,88.20435
19.87,43,88.249889
19.96,34,88.277425
19.83,47,88.319963
19.87,33,88.339981
21.26,44,88.373015
20.35,45,88.417042
20.27,33,88.441567
20.97,53,88.481103
20.55,35,88.513631
19.35,35,88.550662
20.16,34,88.577186
20.87,63,88.631236
20.36,34,88.661766
20.05,35,88.690289
19.02,38,88.713816
19.66,34,88.748341
20.85,45,88.79439
19.87,33,92.923213
19.85,35,92.951738
19.95,35,92.973759
18.94,36,93.001283
20.31,39,93.04332
20.07,33,93.068342
21.07,33,93.092868
18.96,34,93.127394
19.46,34,93.161431
19.64,36,93.184485
18.96,34,93.215025
19.45,35,93.247547
19.41,39,93.28608
19.94,36,93.310623
20.37,33,93.33465
20.57,33,93.362682
20.25,35,93.399209
20.06,34,93.430236
20.71,49,93.460263
19.97,33,93.4988
20.06,44,93.531829
22.01,69,93.584895
20.25,35,93.60791
20.17,43,93.634432
19.32,38,93.666958
19.71,49,93.70299
20.45,35,93.74002
24.45,85,93.821092
21.39,41,93.861125
20.77,43,93.890676
19.97,53,93.937716
20.96,34,93.964243
19.76,34,93.994767
20.21,39,94.291123
18.8,50,94.328646
20.04,36,94.355171
20.16,44,94.390255
19.86,34,94.40927
20.27,43,94.446306
20.47,53,94.494843
21.06,34,94.521369
19.56,34,94.545393
19.67,33,94.574916
20.05,55,94.617949
19.37,33,94.643475
20.63,57,94.687506
21.74,56,94.724538
19.82,38,94.75506
20.75,35,94.788585
19.97,33,94.822618
20.27,33,99.111413
20.47,33,99.142941
19.72,38,99.176973
22.81,59,99.232025
20.36,34,99.265053
19.56,34,99.290588
21.02,48,99.334658
20.13,37,99.363178
21.11,39,99.388701
21.58,52,99.439245
21.34,36,99.46527
20.43,37,99.497796
20.27,33,99.530331
21.16,44,99.563366
20.13,37,99.586396
20.54,46,99.623425
20.23,47,99.673482
20.37,33,99.704009
21.27,33,99.733531
21.36,34,99.768561
22.4,70,99.815106
20.24,36,99.847628
21.24,36,99.887165
21.34,46,99.926197
20.74,36,99.946213
20.13,37,99.972246
21.48,62,100.020282
19.79,41,100.04681
20.19,41,100.072874
19.87,33,100.095893
20.37,33,100.125417
19.84,36,100.159945
19.72,38,100.195498
21.09,51,100.230585
19.53,37,100.255649
19.86,34,100.281729
20.07,33,100.312252
21.06,34,100.332272
19.85,35,100.360289
20.24,46,100.40534
19.54,36,100.435865
20.52,38,100.461388
20.37,33,100.493421
20.32,38,100.531452
21.34,56,100.577005
20.67,33,100.873821
19.44,36,100.905344
20.76,34,100.931867
20.46,34,100.956887
21.67,33,100.988919
21.7,50,101.025952
20.03,37,101.056475
20.37,33,105.547646
20.76,34,105.566663
21.41,49,105.61771
20.47,33,105.649235
20.96,34,105.672264
20.97,33,105.70179
22.54,66,105.747827
20.63,37,105.781359
21.14,46,105.826401
20.37,33,105.847422
21.62,48,105.887965
19.94,36,105.924
20.27,33,105.951527
21.69,41,105.988053
23.37,73,106.056605
22.45,55,106.108146
21.74,36,106.146182
19.48,42,106.189213
20.87,33,106.213738
21.13,37,106.241261
20.16,34,106.268284
22.72,108,106.370869
15.85,115,106.442432
15.92,108,106.542021
14.12,188,106.692654
13.42,258,106.880316
14.66,134,106.977396
12.84,216,107.159139
14.53,147,111.607487
15.55,145,111.974578
15.2,80,112.048646
17.23,77,112.117715
15.55,145,112.245841
16.96,104,112.323423
14.65,335,112.624992
17.52,148,112.753113
14.88,112,112.850711
14.02,298,113.087025
15.37,163,113.238159
16.2,180,113.391314
15.05,95,113.461895
13.68,132,117.888668
14.74,126,118.005276
18.21,79,118.07384
15.11,89,118.155416
16.09,91,118.244498
15.12,88,118.32107
13.85,215,118.725454
16.13,87,118.806028
15.01,99,118.868083
14.6,140,118.967679
15.15,85,119.029304
16.06,94,119.108881
15.93,107,119.200468
16.1,90,119.279036
16.37,163,119.398149
15.08,92,119.475219
13.81,219,119.671404
15.22,78,119.73006
15.29,71,124.088953
14.68,132,124.210568
15.11,89,124.270191
16.27,73,124.337782
16.2,80,124.39183
12.95,205,124.573513
13.88,112,124.671604
15.0,100,124.757677
15.16,84,124.825239
15.12,88,124.890797
13.63,137,125.283564
14.53,147,125.395154
15.32,68,125.445726
15.11,89,125.507286
15.89,111,125.596373
15.24,76,125.66795
16.1,90,125.733515
14.98,102,125.80609
15.25,75,125.868144
15.22,78,125.918684
16.16,84,125.993771
15.0,100,130.481447
15.02,98,130.565029
15.29,71,130.631101
15.19,81,130.69015
17.29,71,130.750705
14.01,99,130.830294
18.25,75,130.897858
16.98,102,130.976929
16.16,84,131.050501
15.26,74,131.116064
17.12,88,131.196137
14.18,82,131.272715
16.18,82,131.331272
16.1,90,131.410845
16.17,83,131.484417
14.72,128,131.585014
15.3,70,131.648573
15.0,100,131.997883
15.28,72,132.059938
13.84,116,132.155039
