#{"t_start": 1769102440.7455916, "env_id": "None"}
r,l,t
18.32,48,0.901079
3.2,500,1.219855
17.48,62,1.267906
19.68,392,1.553631
2.3,500,1.886446
16.28,62,1.917971
3.1,500,6.175784
18.12,38,6.196803
18.31,49,6.22082
18.25,65,6.262849
17.41,59,6.313387
17.52,128,6.411968
17.75,105,8.748206
17.88,102,8.795233
8.5,500,9.128975
17.43,77,9.188524
24.05,395,9.474308
18.0,50,9.513338
8.3,500,13.916873
16.31,69,13.978925
19.01,39,14.009449
17.44,66,14.062483
18.33,37,14.096511
17.69,51,14.125032
18.47,53,14.163066
18.61,49,14.204095
18.26,44,14.240127
13.0,500,16.277174
17.93,77,16.329715
10.2,500,16.698108
18.75,55,16.748647
18.16,64,16.795181
16.91,69,16.856233
17.54,46,16.881282
11.7,500,21.21396
17.53,47,21.256999
14.8,500,21.620302
16.91,79,21.679811
17.69,51,21.729811
17.71,59,21.77332
16.6,500,23.505511
17.81,49,23.534543
17.7,60,23.583076
18.1,40,23.606096
19.15,55,23.637138
19.99,71,23.701185
21.24,156,23.827783
17.86,54,23.861304
18.3,500,28.429255
19.1,40,28.470796
17.3,500,28.861712
17.6,500,29.251625
17.27,53,29.302176
18.06,44,29.341711
17.73,47,29.366234
17.74,46,29.40326
18.72,48,29.431281
18.62,58,29.471815
17.73,47,29.510846
20.0,500,35.64509
22.22,128,35.740703
18.8,50,35.792245
19.18,42,35.824275
19.24,76,35.890328
21.1,500,36.282152
21.01,89,36.366745
17.91,39,36.387789
18.01,39,36.411826
19.0,40,36.443855
18.94,56,36.492898
18.89,51,36.540452
18.59,51,36.56854
18.23,37,36.58856
18.7,40,36.609576
18.54,56,36.652112
18.4,40,36.688146
19.48,42,36.725176
19.15,45,36.755219
18.75,65,36.811772
19.01,69,36.866361
18.92,38,36.889405
18.73,37,36.922928
18.57,43,36.965479
18.12,58,37.001005
18.03,37,37.023023
18.84,36,37.054051
17.85,45,41.15574
18.34,46,41.200776
19.8,70,41.263837
18.5,40,41.301372
18.84,66,42.32909
18.83,37,42.361117
18.41,69,42.419013
22.7,500,42.795354
19.09,41,42.834386
18.22,38,42.861913
18.39,51,42.890437
19.15,45,42.923464
21.9,500,43.328836
18.86,34,43.356868
23.0,500,47.934723
18.64,36,47.967745
18.26,44,48.003775
18.75,35,48.035308
33.48,302,48.273022
24.86,194,48.437675
18.74,46,48.47821
18.31,39,50.053116
19.25,35,50.083645
18.94,36,50.115171
18.07,43,50.145699
19.05,35,50.173726
18.72,48,50.200747
18.81,49,50.236779
18.92,48,50.283317
18.28,42,50.310845
18.45,35,50.331861
18.72,38,50.356418
18.93,37,50.383465
19.2,40,50.405523
39.98,422,50.693786
19.76,44,50.735825
18.31,49,50.779368
19.31,39,50.802384
20.12,38,50.835417
18.82,38,50.866456
19.33,37,50.89998
34.54,376,55.336234
19.27,43,55.37427
20.36,44,55.399288
18.74,36,55.420303
19.07,33,55.449829
19.05,35,55.483859
24.69,141,55.615988
18.67,33,55.641005
19.24,36,55.659021
20.76,64,55.718307
18.75,45,55.744862
19.32,38,55.7774
18.97,33,55.807925
25.05,145,55.931535
18.65,35,55.951551
19.73,67,56.014631
36.9,360,56.946962
19.22,38,56.968481
18.93,37,57.00852
19.06,34,57.030574
18.96,44,57.067123
19.73,37,57.105156
22.85,85,57.163204
20.27,33,57.193235
19.02,38,57.224764
18.86,34,57.243778
19.92,48,57.291325
18.74,36,57.320849
25.46,174,57.465982
18.37,43,61.966427
19.75,35,61.993954
19.82,48,62.043494
19.07,43,62.077027
20.33,37,62.099045
19.71,39,62.121059
19.84,46,62.168606
19.93,57,62.210644
19.48,62,62.248676
18.86,34,62.277204
18.07,43,62.31724
19.31,39,62.348766
19.46,34,62.383294
18.88,42,62.420331
22.45,105,62.490893
18.52,48,62.525959
19.71,49,62.557502
18.67,43,62.582021
19.87,53,62.626563
20.58,52,62.674612
18.89,41,62.715652
31.8,500,63.124336
18.82,38,63.161866
18.69,41,63.195403
20.06,34,63.224925
19.92,58,63.518181
18.56,44,63.550707
18.82,38,63.578232
19.16,44,63.611759
19.43,47,63.655305
31.27,223,63.853512
18.71,39,68.065099
19.07,33,68.100131
19.16,34,68.131657
18.22,38,68.164689
19.05,35,68.19121
19.78,42,68.22824
19.04,36,68.259765
19.47,33,68.279286
18.44,36,68.307811
19.04,36,68.341343
19.56,34,68.367869
18.63,37,68.39039
20.81,59,68.454953
19.1,40,68.489984
18.94,36,68.527021
19.04,36,68.558549
20.21,49,68.588577
19.07,33,68.618101
18.99,41,68.659134
19.16,34,68.683157
19.46,34,68.704177
19.17,43,68.733698
24.79,131,68.830783
18.86,34,68.863811
19.24,36,68.899853
19.37,33,68.923373
18.75,35,68.945398
18.63,37,68.976923
19.29,41,69.014465
20.2,60,69.068008
18.87,43,69.109549
19.0,50,69.147597
19.56,34,69.169613
20.5,40,69.210155
20.26,44,69.243181
19.41,39,69.276707
20.25,45,69.316247
18.84,36,69.339266
19.69,41,69.363785
19.46,34,69.389318
19.74,36,69.420867
19.58,42,69.447447
19.43,37,69.481473
19.2,50,69.530019
19.73,57,69.582069
18.95,35,69.617105
19.51,49,69.648632
19.3,40,69.680663
19.66,34,69.712188
19.25,45,69.998338
20.11,39,74.264583
19.65,35,74.298613
19.42,38,74.321628
19.45,45,74.366168
19.26,44,74.406703
19.04,36,74.42972
19.63,37,74.455242
21.22,68,74.516792
20.11,39,74.550315
19.53,37,74.585854
19.71,49,74.62338
19.29,41,74.661413
27.17,163,74.809588
19.69,61,74.864635
19.94,36,74.900163
19.04,36,74.939201
19.16,44,74.980238
19.84,36,75.019278
19.71,39,75.058316
19.46,34,75.091843
19.7,60,75.151896
19.89,51,75.205455
19.15,35,75.235981
20.65,55,75.295539
21.05,75,75.356593
18.62,38,75.381612
19.8,40,75.41615
18.54,36,75.443669
19.23,37,75.473195
20.18,42,75.516737
19.5,50,75.56177
19.54,36,75.597308
19.31,39,75.623826
21.11,49,75.676378
19.83,47,75.720916
19.07,33,75.751442
21.31,59,75.799486
19.43,37,75.821502
19.74,36,75.856536
19.76,34,75.885559
20.26,34,75.910579
19.64,36,75.934104
19.56,34,75.961122
18.83,37,75.982139
20.54,66,80.420246
19.35,35,80.453274
19.85,35,80.482295
19.91,39,80.516831
18.74,36,80.552358
20.14,36,80.579882
19.14,36,80.617421
19.38,42,80.654453
18.75,35,80.67547
20.59,41,80.715002
18.95,35,80.743525
18.85,35,80.776054
19.35,35,81.061531
19.46,34,81.081546
20.03,37,81.11157
19.36,34,81.143595
20.07,43,81.18213
18.98,42,81.20716
19.49,41,81.231174
20.9,40,81.258699
20.08,42,81.296231
20.26,34,81.315247
19.89,41,81.345775
19.07,33,81.381299
19.37,33,81.410328
20.14,36,81.437874
19.8,40,81.473922
19.87,33,81.508452
24.5,120,81.615015
21.08,72,81.661015
20.12,48,81.694524
19.05,35,81.726524
23.38,102,81.831033
21.34,56,81.880036
19.62,38,81.922543
19.42,38,81.949543
19.66,34,81.972543
19.36,34,81.992051
20.02,48,82.025054
19.27,33,82.059054
20.22,48,82.102565
20.53,47,82.133564
21.01,59,82.196075
19.53,47,82.239075
19.14,36,82.275276
19.37,33,82.304797
20.84,36,82.33632
19.05,35,82.373861
24.65,115,86.784925
19.51,39,86.821955
20.07,43,86.858987
21.02,48,86.907528
20.65,35,86.935054
19.75,35,86.967993
19.71,39,87.001021
19.55,35,87.035554
20.17,33,87.069583
19.77,33,87.101616
20.26,34,87.123639
23.67,83,87.186194
20.21,59,87.238732
21.66,54,87.281771
20.05,45,87.324811
19.23,37,87.348829
19.31,39,87.379858
23.2,80,87.451926
19.88,52,87.767909
19.54,36,87.79146
19.73,37,87.828995
19.81,39,87.868534
21.3,50,87.918079
21.26,54,87.975641
19.92,48,88.023188
21.39,71,88.08575
20.26,34,88.113273
18.94,36,88.151307
19.42,38,88.183346
20.59,41,88.228382
19.27,33,88.261411
20.16,34,88.289947
21.61,59,88.334491
20.72,48,88.36852
20.04,46,88.413053
20.82,48,88.448583
20.06,34,88.473611
19.55,35,88.506135
19.85,35,88.542168
19.05,35,88.571196
19.96,34,88.603725
19.85,35,88.630243
20.27,33,88.660274
21.51,59,88.704321
20.89,51,88.749354
19.87,33,88.782891
20.94,66,92.943241
19.26,34,92.965264
19.32,38,92.99028
19.76,34,93.021304
20.56,34,93.056843
20.96,44,93.088373
20.6,40,93.127408
19.8,40,93.16745
23.18,62,93.214038
19.16,44,93.258068
21.05,35,93.290093
20.87,43,93.318647
19.03,37,93.344171
19.53,37,93.383713
21.35,75,93.445762
20.59,41,93.482299
21.06,44,93.522334
20.14,36,93.543352
19.36,34,93.567876
19.53,37,93.600918
19.64,36,93.622934
19.97,33,93.643953
20.28,42,93.677479
21.33,67,93.739531
20.8,50,93.784072
20.0,40,93.826107
19.76,34,93.858632
20.86,44,93.889185
19.76,34,93.921213
19.95,35,93.950239
20.16,34,93.977764
19.95,35,94.010287
19.26,34,94.30164
19.77,33,94.325659
20.84,46,94.359184
20.67,33,94.386268
22.77,63,94.426302
20.11,39,94.464333
19.24,36,94.495856
20.6,40,94.527385
20.06,34,94.550406
19.52,38,94.586438
22.56,74,94.642485
20.15,45,94.67201
19.66,34,94.702533
20.17,33,94.722552
20.57,33,94.747566
20.11,39,94.782595
19.83,37,94.822628
20.04,36,99.115429
20.37,33,99.145954
20.07,33,99.175986
22.08,62,99.232038
21.34,66,99.290088
20.5,40,99.325161
19.97,33,99.355686
19.24,36,99.379207
19.82,38,99.403731
20.34,36,99.445765
21.64,36,99.469286
20.41,39,99.504317
20.96,34,99.54035
19.73,37,99.564379
20.81,39,99.589409
20.71,49,99.629438
21.57,53,99.684005
22.49,61,99.741046
20.7,50,99.784594
20.37,53,99.821621
20.34,36,99.85515
20.61,39,99.896687
20.57,33,99.92521
19.84,36,99.945227
20.64,56,99.986768
21.72,38,100.011288
19.96,34,100.038311
25.78,102,100.106414
20.94,36,100.13994
20.16,34,100.172477
20.79,41,100.207039
20.67,33,100.23009
20.85,35,100.253665
19.95,35,100.279238
23.49,91,100.345793
19.25,35,100.383336
19.93,37,100.419862
21.46,34,100.443387
19.45,35,100.46991
20.73,57,100.525959
19.95,35,100.550977
19.53,37,100.587527
19.44,36,100.885342
19.76,34,100.915866
20.0,40,100.947392
20.96,34,100.97342
20.31,39,101.004948
21.39,61,101.054487
19.86,34,105.545662
21.15,35,105.565676
20.35,35,105.602209
19.97,33,105.63474
20.84,36,105.664269
21.17,53,105.709806
20.96,54,105.74584
20.47,33,105.772863
19.66,34,105.811898
21.31,49,105.844431
21.01,49,105.883978
20.54,46,105.931517
22.35,55,105.976559
20.21,39,106.010079
20.47,33,106.043107
20.67,33,106.075636
20.29,41,106.112664
21.83,37,106.152702
20.36,34,106.187226
21.24,36,106.213752
21.01,59,106.259787
19.36,34,106.284315
20.17,33,106.308331
19.66,34,106.327347
16.67,33,106.379888
14.74,226,106.553545
14.52,148,106.679649
13.27,273,106.87382
13.19,281,107.087579
15.12,188,111.57647
14.57,243,112.031144
16.28,172,112.188796
15.05,95,112.261865
14.99,101,112.345452
17.11,89,112.425063
17.94,106,112.526414
13.77,323,112.813688
15.5,150,112.927792
15.13,87,112.997888
16.56,144,113.11556
16.67,133,113.239172
15.45,155,113.366293
16.15,85,113.441889
12.89,211,117.932221
15.17,83,118.007289
18.11,89,118.084862
15.84,116,118.193966
14.77,123,118.311065
14.91,109,118.379627
15.0,100,118.709449
15.13,87,118.786024
15.95,105,118.856586
15.97,103,118.93616
17.24,76,118.982724
16.12,88,119.053846
18.01,99,119.12991
15.06,94,119.210989
14.71,129,119.310077
15.93,107,119.398162
18.21,79,119.463722
14.42,158,119.603855
14.99,101,119.692985
16.54,146,124.111493
15.95,105,124.208079
15.17,83,124.265204
17.17,83,124.338795
16.05,95,124.405355
16.09,91,124.490927
15.73,127,124.597545
15.77,123,124.707146
15.07,93,124.776706
14.84,116,124.876795
15.14,86,124.943358
17.01,99,125.296587
16.07,93,125.372646
15.06,94,125.443739
15.1,90,125.505299
15.17,83,125.579866
17.03,97,125.659454
16.17,83,125.719509
15.01,99,125.789085
16.1,90,125.866157
15.07,93,125.929206
14.83,117,130.426407
14.24,76,130.499477
14.99,101,130.588061
14.91,109,130.673146
16.17,83,130.745215
14.93,107,130.829804
14.82,118,130.926397
17.32,68,130.98545
17.3,70,131.048012
14.9,110,131.146603
15.1,90,131.221175
15.35,65,131.286236
15.16,84,131.346795
15.12,88,131.421367
15.69,131,131.524973
17.21,79,131.598536
16.18,82,131.669604
15.19,81,132.00491
15.2,80,132.071462
15.24,76,132.129523
15.2,80,132.198084
