#{"t_start": 1768807640.961901, "env_id": "None"}
r,l,t
20.874462,9,1.323924
29.507654,296,3.429924
22.300153,41,3.844924
24.651426,99,4.346924
25.027608,78,5.138925
17.574666,12,5.498924
26.398344,286,6.991428
-31.737917,479,9.952976
21.156004,16,10.132976
17.465813,10,10.311976
30.166013,20,10.509475
18.46207,10,10.841977
29.222697,32,11.411975
31.067635,80,11.850476
20.670135,6,12.023975
30.408107,144,13.40702
17.71162,9,13.768368
13.841685,26,14.30987
14.7,6,14.471869
22.29256,213,15.148369
122.638719,500,25.529428
25.705521,23,25.863427
28.155659,64,26.612928
34.566315,40,27.163927
33.327292,71,28.203928
69.761224,167,30.414427
30.920116,27,30.980929
20.532229,16,31.344928
29.692047,72,32.275927
26.27632,31,32.816427
24.090644,175,34.157428
44.203791,46,34.953975
30.026581,68,35.551975
19.357667,13,35.741974
18.069261,11,36.232475
19.402163,6,36.580475
22.976008,55,37.678975
24.384036,12,37.850476
20.210455,36,38.360975
23.441091,23,38.712475
21.157784,34,39.422975
48.992894,238,41.766975
20.382058,6,41.937474
14.9,8,42.120975
27.91081,38,42.621974
24.683636,12,42.792475
37.437837,61,43.267475
50.176423,107,44.239476
25.460157,22,44.444474
18.843854,6,44.620975
32.304931,101,46.085475
30.82345,67,46.685975
11.325613,6,47.030018
21.206056,65,52.666064
18.148253,7,52.990563
13.426455,6,53.157563
175.432339,428,58.571563
33.077562,28,59.099573
61.416856,117,60.49507
23.51519,16,61.157071
26.126385,15,61.485071
23.284149,20,61.826069
20.286115,8,62.01557
25.524822,25,62.725069
23.50816,14,63.220569
16.93959,87,64.020571
21.389417,33,64.53407
17.92988,6,64.860069
18.216087,6,65.030569
22.715221,54,65.434069
26.562984,55,66.655573
96.655779,197,67.659574
104.438097,328,70.945074
19.790705,37,71.168072
29.092411,47,72.226573
14.650744,6,72.391074
11.075425,8,72.561073
45.312262,45,73.725113
26.753185,27,74.411612
33.120473,42,75.258115
16.935441,12,75.729112
17.555085,34,76.119612
28.915656,29,76.637113
25.410157,50,77.197112
60.410814,39,77.752614
12.90697,42,77.978112
22.278773,17,78.459612
30.482014,55,78.704112
27.432964,42,78.927612
29.889011,32,79.150612
13.917785,14,79.341612
39.741498,77,85.094658
13.99504,6,85.457158
30.999404,20,85.826658
16.995996,7,86.008157
27.794043,11,86.337158
17.686093,8,91.424602
47.954952,72,92.867602
43.161005,43,93.657601
43.969206,46,94.403643
22.263954,22,94.781143
17.117057,7,94.964144
28.813567,38,96.238643
10.067115,9,96.603143
99.656118,102,97.652643
27.072404,19,97.855144
21.742004,10,98.042643
38.316182,52,98.648144
41.920574,22,99.044143
26.649845,18,99.252643
26.07472,15,99.810143
32.116181,11,99.995647
18.04792,23,100.520643
14.488429,12,100.689143
17.529998,22,100.872644
21.133703,11,101.063143
17.256883,41,101.433143
17.602229,9,101.612143
20.452817,6,101.775643
24.759978,13,101.954644
26.026561,17,102.335143
20.408464,23,102.536643
224.638597,500,109.246144
27.872883,18,109.756143
18.394246,29,110.274143
63.369438,124,112.544216
24.742939,16,112.735716
25.09253,12,113.236715
28.975751,16,113.835216
33.49963,22,114.044716
21.820338,53,115.063715
34.222114,23,116.091753
22.891795,8,116.271753
26.536667,22,116.984253
34.835505,37,117.700253
35.571826,19,118.378753
13.953347,8,118.551253
57.489244,44,119.875759
32.441551,45,120.58376
58.731042,46,121.250259
142.501651,131,123.357759
25.74528,46,123.594259
19.304819,40,124.293259
187.855437,194,132.528804
16.718432,6,132.88234
80.333376,71,134.49334
37.853144,24,135.14034
22.794254,14,135.31784
23.299723,8,135.77834
20.289952,13,135.959341
18.399714,6,136.134341
23.033601,26,136.482341
140.734417,134,138.19484
26.049412,17,138.37934
41.504978,35,138.89884
34.617543,24,139.373841
30.095629,14,139.56284
24.069742,20,139.88334
34.02007,30,140.84784
24.538785,11,141.03584
21.52905,36,141.58934
23.714297,10,141.77284
64.540579,52,142.518341
24.472646,12,142.84934
20.817852,11,143.022341
20.380484,6,143.36034
27.917768,11,143.68534
22.503729,10,144.195341
18.4364,6,144.371342
182.460574,199,150.008886
27.520902,15,150.492386
28.185055,12,150.990386
19.758595,8,151.343887
26.248218,15,151.823386
26.881819,34,152.818886
60.246759,86,154.573423
40.96418,40,155.302423
22.477017,18,155.633423
97.272922,175,158.202423
27.219466,21,158.719923
28.284467,10,159.048923
17.816975,6,159.229923
19.340672,6,159.708923
29.535441,21,160.448422
16.515038,7,160.615922
34.73349,18,160.978923
55.82319,36,161.487422
28.71076,9,161.828423
22.209188,8,162.003423
57.917784,40,162.386923
18.25475,16,162.586923
33.961465,16,162.926423
14.889989,6,163.106923
136.805453,105,164.601423
49.649638,45,165.335424
32.444631,17,165.678423
23.082441,13,166.027423
29.796776,26,166.391922
27.617282,24,166.793923
16.201328,9,167.105923
62.133703,43,167.799922
24.723334,16,167.991423
28.386079,11,168.178423
19.874683,13,168.358923
22.972116,30,168.709424
22.525043,25,169.048924
17.426672,6,169.217923
12.92756,6,169.376923
22.300863,24,169.751423
18.650439,6,169.907923
57.676385,38,175.011465
25.431641,13,175.345465
36.225043,23,176.206965
28.422114,15,176.873466
45.036778,47,178.069465
16.266346,6,178.748472
25.148287,25,179.408971
27.32371,14,179.590472
32.086256,21,180.243471
49.116244,36,180.945471
21.517857,9,181.284972
17.401584,6,181.453472
52.28111,25,181.801471
18.284906,6,182.121471
59.703641,37,182.965971
198.557841,140,186.096975
24.645948,15,186.617975
12.884806,6,186.955975
28.332108,11,187.447975
29.037183,14,187.630975
40.751364,69,188.555475
30.517238,25,188.759475
167.238871,158,192.973902
29.088554,14,193.321903
121.750302,112,196.221403
26.43762,21,197.057403
35.023622,19,198.247402
18.065195,6,198.700402
15.01482,6,199.187402
55.584096,27,199.883903
29.165252,27,200.531403
61.755229,54,201.253903
28.165136,11,201.591403
22.623206,11,201.920402
35.505618,24,202.459403
33.4602,21,203.308903
18.341703,7,203.626909
20.882295,6,203.790403
28.299644,11,204.439403
36.219865,20,205.142941
