#{"t_start": 1768807640.9609017, "env_id": "None"}
r,l,t
35.214854,27,221.168407
25.830509,18,221.541906
38.349422,18,221.885906
57.998399,33,222.469997
23.154537,10,222.648497
21.751729,20,223.171998
46.951371,52,224.230998
24.577909,22,224.451498
81.354619,48,230.630038
33.691429,20,231.660578
68.030963,57,233.091119
104.817588,42,234.478119
19.492064,15,234.819618
213.074515,130,242.253704
30.474481,14,242.490204
23.38529,12,242.691704
43.536515,25,242.909705
34.861912,15,243.290204
42.107117,20,243.665704
20.403831,6,243.995207
20.798186,35,244.759204
19.649688,11,245.257206
33.217146,61,246.200707
54.613441,34,246.921708
32.323583,13,247.271707
24.667747,7,247.760707
28.822476,21,248.131207
20.861456,10,248.457207
22.884629,18,248.818707
26.87023,14,248.996709
18.920393,8,249.171208
67.646666,39,250.368745
29.749563,12,250.550745
39.1153,23,251.436245
28.45074,21,252.256745
25.127225,12,252.573745
36.151572,35,253.139294
14.866617,6,253.308794
27.089306,14,253.836295
22.917779,11,254.022294
25.385844,10,254.198794
17.536673,8,254.544294
117.096481,71,255.957294
112.14899,119,258.983294
26.467053,17,259.166294
20.726014,6,259.495794
21.634482,7,259.813795
30.836155,12,260.002794
24.187844,7,260.474795
32.03242,27,261.156294
37.97429,22,261.514294
24.492221,11,261.991294
64.637492,48,263.206794
26.945457,21,263.395795
24.807007,41,264.254795
27.377024,9,264.642869
29.590906,15,264.964369
172.332016,103,267.41887
49.46953,30,268.140369
68.690152,74,268.609869
38.774357,19,268.796369
259.177592,187,272.468878
47.794909,29,273.41487
27.734197,21,273.92787
29.035932,13,274.266376
34.491658,20,274.453414
24.592117,16,274.961915
26.770108,10,275.307415
100.718402,66,275.903414
26.675271,9,276.248414
23.222142,14,276.430915
21.495566,14,276.616414
21.971847,19,276.794915
44.799967,39,277.725913
106.347782,63,279.175915
24.96061,17,279.724914
24.221546,8,279.908915
25.546289,9,280.093414
22.828236,6,280.272415
74.290578,42,285.646916
52.616222,37,286.011414
24.88294,8,286.182916
21.0075,7,286.352915
27.38033,16,286.541415
21.558649,6,286.713415
90.839047,60,287.433915
50.238818,32,288.113914
23.079161,9,288.439414
20.12149,8,288.608414
168.981369,108,290.594414
82.269354,39,291.440956
23.196405,17,291.961457
191.525192,122,295.625956
65.11588,42,296.32596
25.663984,8,296.650456
59.964385,55,298.040456
161.292072,100,299.947462
27.684428,19,300.472962
28.206158,24,301.320963
54.986362,50,302.978963
26.044327,20,303.475962
371.184195,216,307.062962
25.132953,8,307.385463
31.79846,18,307.930964
57.870664,35,308.741462
135.351574,86,310.457462
31.312487,13,310.645963
112.42807,78,312.357962
27.134211,10,312.679962
430.692628,233,318.33603
95.769625,59,319.676037
42.137933,17,320.020532
30.673257,26,320.75353
66.345262,51,322.28403
34.722414,18,322.92253
73.563119,43,323.80753
44.758052,17,324.33453
44.525,26,324.529104
35.97401,14,324.704098
55.801635,38,325.5706
33.150652,17,326.073598
50.497085,28,326.9451
29.453587,13,327.645694
41.321123,18,328.153693
58.987338,20,328.819693
32.38556,14,329.006693
23.297787,17,329.517193
167.269702,103,335.67023
29.682257,10,336.115731
24.195392,21,336.656733
67.101159,40,337.494231
36.018047,17,337.960732
40.468875,19,338.140231
20.896794,20,339.011231
69.901191,47,339.916732
29.154274,14,340.25873
29.798546,20,340.743731
38.795019,21,341.081231
41.188076,24,341.454231
27.479386,10,341.63023
22.765943,6,341.788231
20.240564,6,342.258731
27.816505,11,342.771231
25.272309,10,342.956231
21.746705,12,343.134737
32.067954,23,344.092731
163.7127,76,345.68623
26.805507,16,345.85523
48.877366,25,346.200731
42.238654,21,346.885231
52.84287,44,347.60623
26.851073,23,348.11973
51.156598,34,348.81923
74.413234,56,349.70823
31.117124,23,350.52523
32.139717,11,350.997231
19.676948,16,351.345771
23.012376,8,352.031271
28.237405,12,352.334771
26.737785,13,352.852806
66.224579,35,353.534307
25.816716,16,353.868307
31.630836,13,354.196806
30.494071,11,354.541806
21.667251,8,354.852306
94.030605,42,355.384306
51.589559,28,356.178842
28.807059,28,356.702344
142.668201,80,358.240341
70.029373,35,359.127346
34.839579,19,360.100346
93.451217,55,361.459846
160.69441,116,363.388346
19.269337,8,363.731846
37.192349,18,364.380346
81.928985,61,365.466846
17.635206,30,366.16035
119.520485,67,368.108349
24.566123,18,368.595349
54.481774,35,369.451849
26.844147,22,369.795387
31.559488,29,370.336888
37.486864,15,370.520887
30.529297,11,370.688387
25.62042,10,371.184387
253.887774,161,373.884424
119.336448,85,375.309924
144.027559,103,377.183424
55.947989,30,377.554424
39.285942,18,377.891924
37.032453,18,378.229424
25.711819,11,378.405924
49.710555,26,378.971423
206.751038,129,385.360962
39.085159,22,385.565962
29.643427,13,385.743462
28.727847,12,385.930962
