#{"t_start": 1768807640.960402, "env_id": "None"}
r,l,t
16.044199,27,1.521923
-20.044993,479,4.941923
27.828712,27,5.334426
31.760023,416,8.067927
15.0,8,8.249426
27.118824,204,9.394427
29.142027,223,11.234976
32.246136,21,11.602474
35.325734,86,12.548975
39.660865,149,14.119868
30.210246,281,15.564368
23.820921,147,20.820372
34.410315,26,21.01687
25.388106,48,21.763868
28.43545,10,22.100868
18.299537,12,22.620868
32.183868,67,23.325368
32.868076,160,25.722426
13.207211,6,26.031426
20.479737,51,26.426427
21.190122,44,26.987426
15.709088,34,27.526426
33.132184,48,28.386926
15.772537,6,28.720426
17.050471,6,28.903926
23.857793,13,29.083426
23.114982,11,29.275926
17.789845,6,29.443926
25.530586,22,29.631926
50.329328,144,31.507426
35.513167,54,32.095926
35.770753,100,33.064926
35.280089,56,33.345426
23.404514,22,33.565927
16.245219,9,33.749926
34.359927,41,34.334973
26.663579,20,34.738975
33.196487,109,36.064973
21.052996,6,36.420973
13.771189,8,36.957473
20.462335,36,37.357974
24.725759,129,39.758473
29.115704,108,41.070475
27.481811,91,41.559473
32.092893,57,42.292973
24.035263,21,42.469975
27.141219,90,43.450475
32.544682,125,44.779473
20.827566,38,45.172473
31.125207,14,45.535973
34.032853,115,46.864517
11.611986,6,47.199019
19.819076,28,47.879518
19.287577,36,52.831061
30.64534,27,53.327561
23.11868,12,53.485062
16.743005,39,54.285568
20.621948,9,54.462561
23.314656,36,54.848561
14.763606,9,55.369061
32.487656,26,55.740562
19.807643,12,55.919062
27.349782,32,56.288561
155.702285,364,59.995068
17.465111,34,61.001568
20.916725,12,61.336068
15.028507,6,61.647069
17.290187,29,62.209069
23.184764,14,62.56057
17.607473,19,63.061569
113.560295,208,65.784571
11.543368,6,65.950071
17.803983,6,66.477071
66.677155,71,67.071072
71.137239,312,68.104571
15.9244,20,68.292074
123.39611,194,71.665572
21.039349,15,71.848072
20.509403,68,73.561611
8.81276,68,75.077611
25.740594,44,75.924112
25.847423,26,76.311611
18.417137,36,76.843112
20.769526,13,77.020611
93.381342,404,91.764101
10.784574,17,92.1206
27.479871,33,92.691102
29.127028,12,93.0586
25.723207,21,93.2896
26.278647,33,94.024601
21.184312,34,94.567645
22.678182,32,95.152642
258.508154,276,99.639142
37.282448,30,100.351641
168.086021,314,104.092142
17.184506,23,104.744642
30.789299,32,105.447142
30.532179,38,105.833142
24.936735,15,106.162642
15.042656,7,106.324142
17.804417,6,106.505143
22.614539,18,106.843644
32.556184,44,107.374142
12.128616,6,107.525642
120.765877,118,108.346142
29.394026,21,108.892142
38.837691,26,109.592142
34.375101,38,110.111141
29.731522,21,110.628641
16.483706,6,110.968142
12.068867,9,111.133663
22.945385,15,111.320177
16.331791,6,111.490677
31.559011,16,111.672677
22.381378,22,112.180677
144.40388,167,115.772253
38.612589,55,117.358253
35.541103,20,117.858752
23.522579,26,118.845258
16.43471,27,119.393758
14.542716,8,119.563258
31.644738,19,120.201258
32.305393,45,120.750259
25.17702,34,121.403259
21.165178,12,122.079257
85.365507,94,122.995764
48.872128,71,123.758258
38.999669,26,123.962758
23.477702,13,124.150758
25.634905,23,129.121262
24.339164,12,129.289262
14.734633,6,129.600802
72.975823,47,130.917803
10.735928,6,131.105803
30.162628,13,131.443302
65.711644,38,131.811803
21.991977,13,132.148803
46.901138,30,132.356802
35.326472,19,133.06284
38.963217,21,133.812839
17.257282,18,134.15134
27.850241,22,134.340842
27.386782,19,134.980839
40.125252,25,135.474339
32.089257,32,136.300839
336.055239,438,143.521339
13.637085,6,143.855839
25.632368,19,144.543885
17.416018,9,145.049885
23.866641,7,145.369885
37.519225,35,146.059885
21.583833,11,146.404885
15.012282,6,146.883385
28.271298,15,147.422885
85.436109,95,149.344891
33.347131,13,149.842385
19.712792,10,150.328385
15.861074,9,150.652385
25.849594,11,151.163885
28.409147,14,151.528385
23.577402,21,152.004385
