#{"t_start": 1768807640.961401, "env_id": "None"}
r,l,t
16.765281,6,1.162424
25.159611,36,1.881425
25.900574,94,2.514424
27.873705,125,3.203426
27.124792,46,3.619924
32.265807,46,4.022924
21.346222,343,6.273927
35.57126,108,6.619428
18.95163,6,6.792928
25.975317,37,7.218928
32.961126,179,8.521928
29.083245,59,8.773428
24.247556,69,9.215928
26.823154,38,9.592475
26.619178,285,12.191475
40.12736,392,14.987369
16.905561,6,15.315869
24.589738,84,15.785369
25.096305,195,22.25737
20.127236,6,22.436869
32.313886,30,22.819869
27.935915,20,23.144369
19.135429,26,23.48087
19.186212,48,24.381369
33.234206,25,24.575927
29.848039,41,24.951927
25.413795,6,25.139427
20.48263,46,26.185427
30.526141,59,26.780427
18.682059,60,27.378428
29.495508,10,27.815427
20.171787,7,27.984927
29.342075,102,29.789927
29.586866,30,29.995929
22.944958,47,30.228427
28.524152,37,30.799927
28.009223,19,31.161427
22.382103,47,31.743427
16.718054,6,31.927927
19.841177,49,32.469927
24.199844,7,32.652928
57.924516,155,33.940929
52.859995,82,35.140475
47.838141,89,37.118474
30.863753,94,38.059974
19.178617,7,38.517474
31.814468,44,39.066975
28.091666,13,39.590477
20.308325,6,39.923475
27.69321,40,40.339974
21.619605,14,40.513975
21.203906,6,40.673474
26.545079,9,40.850975
18.775488,61,41.269475
26.842287,500,46.322975
20.993266,24,46.516974
18.00317,21,47.371017
17.5618,6,47.711018
43.754529,173,55.014062
21.509699,51,56.101564
13.402252,63,56.505562
26.202276,31,56.715062
12.990137,6,56.873062
14.04118,22,57.084062
13.389106,10,57.256063
33.984751,66,57.671562
21.2175,24,58.183064
26.552419,46,58.727069
45.640576,136,60.33257
12.245605,6,60.649569
32.351574,67,62.386069
21.34979,23,62.896569
20.55959,14,63.402069
29.433723,26,63.60107
29.622561,18,63.797069
27.319264,61,64.35907
34.247147,27,65.20557
26.512482,56,65.603569
15.97636,18,66.105573
20.588266,35,66.837573
49.074808,91,67.326073
148.387052,335,68.850573
26.672713,22,69.386073
21.19412,37,70.100573
17.094156,16,70.284073
13.81211,10,70.785073
33.85485,44,71.322072
17.245502,7,71.491072
50.4707,55,72.732594
24.855056,13,73.060112
22.327882,13,73.408112
19.125415,24,74.069112
26.56112,22,74.574112
27.91109,14,74.913112
46.158881,84,76.463612
40.145271,78,77.369616
20.609196,23,77.581612
103.559318,234,84.066612
17.58,13,84.241112
15.280815,6,84.403613
20.423216,14,84.755158
24.123751,10,84.920658
16.10168,8,85.27216
26.989157,14,85.629158
145.287138,257,95.699143
26.402883,11,96.424643
44.365571,39,97.021143
31.415391,56,97.471143
100.882742,500,104.250643
20.391985,9,104.578143
30.20847,24,105.079144
191.398362,500,112.905716
15.660892,6,113.379715
22.101975,12,113.686216
36.229076,38,114.375215
43.189708,45,115.445215
14.629226,32,116.464253
19.722891,13,116.823253
19.120898,12,117.166753
30.606178,22,117.543253
30.260344,54,119.053759
124.39553,108,121.094759
22.250414,12,121.705759
25.264731,24,122.402761
36.68569,47,122.638259
18.635456,6,122.81276
21.884614,28,123.156759
102.76698,119,128.943263
24.528972,39,129.913804
18.714094,6,130.082803
24.574294,15,130.421304
12.746387,6,130.593305
80.905413,73,131.986804
43.601333,43,132.710316
23.548748,11,133.228341
30.430902,18,133.65384
20.341225,6,133.95934
61.874498,51,134.818841
22.715707,30,135.62634
133.654567,150,137.665841
43.56859,25,137.85184
20.410933,6,138.02284
31.468368,20,138.55134
25.985185,11,138.71184
22.923112,25,139.05084
44.07389,45,139.70434
159.056909,160,142.683841
18.542097,19,143.19434
26.570174,21,144.03134
24.46367,12,144.691886
31.940593,43,145.899386
31.629996,21,146.712386
35.951642,38,147.755386
27.244825,18,147.949886
20.463619,6,148.123886
20.185505,6,148.304886
22.937787,16,148.638886
31.783822,20,148.996886
21.985437,7,149.170386
74.603025,90,152.162886
18.115197,8,152.494386
53.359331,51,154.042886
124.526458,175,156.751422
31.013202,24,156.958423
50.807705,30,157.475923
27.565698,16,157.830923
76.193793,65,159.533923
14.647791,7,159.878923
41.020879,49,161.128423
51.409159,36,161.670923
115.212508,133,163.826423
29.21451,17,164.027924
38.441311,16,164.394922
30.941134,34,164.775923
25.93024,17,164.953423
18.741501,7,165.140923
47.727229,30,165.518923
13.262686,6,165.845923
39.441002,32,166.222423
49.555883,32,166.952423
30.429358,12,167.265923
21.846697,12,167.431923
18.85643,13,167.622423
232.023658,205,175.680965
21.960374,9,175.860465
14.970584,8,176.028965
14.895363,9,176.529465
18.223584,6,176.711965
58.913853,30,177.553965
36.104506,23,178.595465
9.87,9,179.083472
21.936539,11,179.265971
29.404067,27,179.759474
63.431601,45,180.781471
23.669765,21,181.607971
31.050531,26,181.962971
34.014935,27,182.625472
13.103886,6,182.795971
26.467407,11,183.141471
27.59808,11,183.472471
18.72213,6,183.809471
51.314493,27,184.164972
47.527066,23,184.529972
20.845565,10,184.905471
23.207033,16,185.077471
15.531956,6,185.223471
25.403748,18,185.740475
41.907869,26,186.433975
213.753896,140,188.913975
61.019664,27,189.589975
23.090883,7,189.769477
63.510565,40,190.472475
30.317992,13,190.964475
36.044724,17,191.296978
16.327594,7,191.803864
29.24165,15,192.464364
32.240486,14,192.788403
26.649426,18,193.150402
25.522975,18,193.639902
19.697713,6,193.971902
29.639993,15,194.319403
25.421361,23,194.828402
77.534431,62,196.389403
27.1051,12,196.730903
26.177014,10,197.388402
21.436196,16,198.541403
126.735359,98,200.909902
57.613071,38,201.761403
77.831543,44,203.134904
50.111968,22,204.115403
16.097452,6,204.279902
28.790942,14,204.979441
20.95794,10,205.311942
25.64881,21,205.511441
15.634647,6,205.865441
48.577447,40,206.587941
22.84444,13,206.775441
18.901711,13,207.126941
25.533402,17,207.462942
29.331283,13,207.797442
31.097593,13,208.299443
28.906942,15,208.795942
44.106095,35,209.633942
25.577487,25,210.309442
106.164765,88,211.948942
17.321058,6,212.291941
83.466811,53,212.865942
82.23105,71,214.006441
26.003556,13,214.528486
27.855009,34,215.430492
24.731656,15,216.152038
48.464662,32,216.706038
34.374818,19,217.105044
100.654126,91,219.018407
18.628015,6,219.207907
17.126616,6,219.564907
93.143197,63,220.597407
86.08661,115,222.996998
38.284181,18,223.509501
46.474492,38,224.056498
24.25147,28,224.617498
62.418624,30,230.090037
44.023435,21,230.791537
16.940073,7,231.127063
34.350939,24,232.018079
26.798033,11,232.523082
61.672073,35,233.258619
29.537684,14,233.782119
28.920656,11,234.132119
28.710138,12,234.31662
39.798119,15,234.65162
89.853257,49,239.966705
26.552501,17,240.347705
32.050028,14,240.718705
32.020353,14,241.123708
59.580511,31,241.885706
106.684586,69,243.109705
53.214225,29,243.839705
62.64244,50,245.429706
25.646491,13,245.617208
34.147662,33,246.007209
32.774872,15,246.358208
30.330317,11,246.543209
28.755367,15,246.744708
28.785455,12,247.100708
22.893947,10,247.446709
34.749907,22,247.961708
17.552159,11,248.309717
77.602304,50,249.518708
17.963579,11,249.849246
58.11308,37,250.731747
38.514797,22,251.750247
25.012457,10,252.099246
25.557003,10,252.407746
26.358146,14,252.910295
156.820839,90,254.895295
22.549812,9,255.228295
74.244849,36,255.617795
91.441478,57,256.696295
34.184155,12,257.182295
23.287854,11,257.363796
35.068249,28,258.447295
212.840507,150,262.332303
28.969081,27,262.862795
64.740542,44,263.574302
176.784644,120,266.746372
31.021927,13,266.93287
22.280798,14,267.25737
38.137008,21,267.95137
67.781977,33,268.344371
251.838536,182,270.90437
16.641936,7,271.27487
35.898335,27,271.76837
28.820464,12,272.10087
61.40016,32,272.628371
32.567362,15,272.94937
32.824003,12,273.261872
33.928733,16,273.76137
65.437463,40,274.618415
255.441066,159,277.153414
177.844268,153,285.131915
26.489481,9,285.458916
332.196711,194,288.973914
34.748198,21,289.326416
59.172592,28,289.692414
29.905746,14,289.871915
30.879282,18,290.069416
114.464215,76,291.779957
43.370515,27,292.465456
