#{"t_start": 1768629503.048313, "env_id": "None"}
r,l,t
-62.577344,500,1435.696586
-74.65,500,1444.261329
-50.675415,500,1455.999684
12.229035,70,1456.613855
31.25187,48,1456.941633
-58.3,500,1465.452512
-131.05,500,1467.580596
-75.05,500,1476.086449
-35.079795,500,1488.349972
12.055673,160,1489.205705
-42.65,500,1491.458858
-2.310691,500,1500.13954
-47.15,500,1502.718713
2.964741,500,1520.573628
39.048616,224,1522.443706
-39.675608,500,1524.953417
-67.7,500,1533.490995
-29.428585,500,1545.454729
-97.65,500,1547.533273
-41.90284,500,1555.880324
-47.858744,500,1558.125422
-46.293876,500,1575.65952
46.193245,340,1576.840838
-99.65,500,1579.206405
-48.15,500,1587.780551
-92.145616,500,1589.895723
-75.35,500,1608.568686
-55.811245,500,1611.044808
-37.634179,500,1613.363876
-104.8,500,1621.703773
26.668249,479,1633.747272
-134.6,500,1635.842639
-44.862426,500,1644.442498
-57.886966,500,1646.81281
-83.2,500,1665.019487
-17.00401,500,1667.831156
30.571787,59,1668.206656
-97.6,500,1676.664545
-49.766215,500,1678.753167
-15.2,500,1690.661222
-71.036147,500,1698.937272
-92.551129,500,1701.426161
-75.8,500,1710.074987
-71.409996,500,1721.687226
-98.5,500,1724.010653
-53.45,500,1732.450794
8.85748,331,1734.158705
-42.809908,500,1736.546638
-51.25,500,1754.398726
-96.8,500,1756.630264
-149.35,500,1764.713106
-58.797707,500,1766.712579
-68.85,500,1778.021701
-36.399847,500,1786.279603
-48.329511,500,1788.254645
-64.3,500,1796.581187
7.128075,500,1808.36307
-52.4,500,1810.813246
-19.834074,500,1818.900222
-50.45,500,1821.17799
12.536373,30,1821.69177
-20.247591,442,1838.976811
-109.2,500,1841.423023
-41.422511,500,1843.713146
-98.85,500,1852.227525
-43.9,500,1863.176065
-85.128456,500,1872.323991
-65.669369,500,1874.924112
12.120303,6,1875.141487
0.979983,208,1876.273126
-85.15,500,1884.725851
-125.55,500,1896.213201
-35.166556,500,1898.602825
-31.622246,500,1906.97906
-10.524708,500,1909.245616
-73.65,500,1926.761592
14.716781,78,1927.375781
-72.4,500,1929.478767
-84.15,500,1931.8456
-67.1,500,1940.340879
-82.056366,500,1951.066819
-35.370429,500,1959.64376
-55.3,500,1961.880944
-32.717277,500,1964.160755
-75.214735,500,1981.874495
-53.5,500,1984.043538
-54.257058,500,1992.387564
-45.284977,500,1994.810896
-25.043219,500,2006.406806
-70.15,500,2014.613222
15.246968,46,2014.925981
-115.05,500,2017.635591
-50.45,500,2026.106526
-64.9,500,2037.56594
-33.536384,500,2039.925832
-8.501491,488,2047.941538
-46.6,500,2050.025657
-50.95,500,2066.402905
-1.38621,500,2068.389544
-48.15,500,2070.779567
-36.986267,500,2079.18713
-20.674915,500,2090.104448
-86.2,500,2098.206201
-91.125243,500,2100.457583
-52.347609,500,2102.916485
-43.5,500,2119.903659
-33.00613,500,2122.480713
-73.0,500,2130.816981
-123.5,500,2132.960674
-60.15,500,2144.686091
-67.45,500,2152.809552
-83.9,500,2155.075685
-62.75,500,2163.622638
8.65,6,2163.852698
-64.9,500,2175.267726
-31.677929,500,2177.54164
-9.027236,425,2185.221117
-25.402137,500,2187.329861
-127.55,500,2196.059643
10.198059,263,2207.385647
2.984281,500,2209.673652
-12.389147,500,2217.953223
15.890694,137,2218.50312
-28.83474,500,2220.683023
-36.75863,500,2238.40248
-58.75,500,2240.74738
-44.7,500,2243.117107
-42.118931,500,2251.367281
-97.0,500,2263.784991
-36.023412,500,2273.035675
-44.4,500,2275.127952
-71.25,500,2277.11397
-49.9,500,2294.216159
-75.154603,500,2296.298827
-30.112434,500,2304.469737
10.662846,500,2306.62969
13.083769,165,2307.552588
23.768726,119,2308.302999
-37.402917,500,2327.103114
7.857777,167,2327.989508
-115.95,500,2330.840869
-61.7,500,2333.333013
-55.112979,500,2351.750574
-52.436716,500,2354.199014
-56.6,500,2363.38432
-37.426148,500,2366.056967
-41.232252,500,2368.743775
-33.062253,500,2388.003016
