#{"t_start": 1768629503.046312, "env_id": "None"}
r,l,t
-56.10669,500,1.738104
-53.320675,500,2.897523
-62.342765,500,8.221231
7.75,6,8.515107
-147.65,500,9.979458
-144.95,500,20.245238
-137.75,500,21.592364
-5.82489,317,22.71856
-136.5,500,28.819828
10.765163,6,28.964456
18.753116,30,29.158467
19.0759,27,29.367312
17.712469,77,29.788424
-139.9,500,36.873606
4.109104,153,37.860518
-129.5,500,43.667074
26.786331,219,44.547961
8.4,6,44.70237
-135.7,500,46.634123
8.65,6,46.800832
-137.35,500,60.126461
28.340344,20,60.353813
113.441415,500,62.41684
-80.159523,500,64.286527
31.422788,289,71.253665
-120.55,500,72.934986
-53.769252,500,80.966753
-124.8,500,87.418562
8.4,6,87.589541
-31.04146,500,89.172523
-136.9,500,96.75466
8.2,6,96.939837
11.265395,93,104.121747
-6.495004,137,104.545676
6.172151,127,106.32576
-125.25,500,108.236829
-46.03923,500,115.494813
5.235572,162,116.200946
33.891444,143,116.870821
-8.209163,500,125.829562
22.773856,442,132.742743
-78.305845,500,134.846214
-67.234418,500,143.313324
-111.25,500,145.65658
13.027258,103,154.596622
11.436159,58,154.933207
8.4,6,155.154697
28.631701,79,155.529572
13.091658,74,155.903984
8.45,6,156.105615
-85.6,500,163.991997
-133.65,500,166.564019
12.913236,46,166.885557
-72.879457,500,169.096913
4.979713,206,176.245642
-156.8,500,187.317786
-61.847836,500,189.813908
26.274617,500,198.106233
11.289724,10,198.433187
19.021285,55,199.025538
-120.75,500,201.216996
-84.398021,500,218.222913
-48.322985,500,220.378689
-66.809007,500,222.718691
-103.1,500,231.376533
-97.49398,500,242.180903
-72.114793,500,251.605124
9.762028,78,252.008627
-40.432604,500,254.632114
-70.691258,500,256.940413
-77.7,500,274.913128
-109.45,500,277.065873
9.15,6,277.324761
24.706439,35,277.643773
7.777327,30,278.191991
-143.3,500,287.164651
-45.307878,500,289.603425
-107.6,500,308.088483
-108.9,500,310.508047
-59.193126,500,312.564195
19.579281,56,312.915195
-89.75,500,321.354591
-78.6,500,332.108519
17.099253,13,332.358788
16.699053,75,333.166503
-54.696092,500,341.280862
-69.2,500,343.946669
-34.590356,500,355.553671
19.237532,66,362.102148
-12.195359,274,363.620457
-49.695494,500,366.246993
-107.5,500,374.623751
-91.55,500,377.034641
9.648836,16,377.29063
43.824347,435,388.67261
-132.5,500,397.101593
-53.968896,500,399.469474
8.7,6,399.70386
-114.95,500,407.709605
-90.134813,500,418.640478
-115.35,500,420.692882
-85.5,500,429.056041
-39.200344,500,431.282014
-104.5,500,448.262589
-134.3,500,450.697699
22.184833,22,450.951593
-65.580277,500,452.881888
29.553316,236,460.36797
-84.9,500,462.519602
-81.5,500,473.159948
-44.921934,500,481.239861
-64.7,500,483.959593
-67.122953,500,491.912101
-59.579881,500,503.063071
-52.45,500,505.438579
21.532867,100,505.891564
-58.85,500,514.128841
14.136243,19,514.389585
-30.31999,500,516.438323
-2.277284,500,534.418819
-86.55,500,536.638591
-70.35,500,538.653004
-66.433268,500,547.405661
8.902506,17,547.680677
-46.685465,500,559.68504
8.7,6,559.924283
-42.496028,500,568.375814
-42.449436,500,570.712329
-118.4,500,572.920522
21.522837,76,573.328596
-1.321239,500,591.78792
23.203392,43,592.108068
19.660773,116,593.048578
-148.1,500,595.278666
-75.3,500,603.384114
-45.466313,500,615.168645
-60.05,500,623.674524
-85.95,500,625.993972
13.209095,67,626.573887
-54.815309,500,629.162262
-43.312427,500,647.639142
-21.977375,500,650.128819
-21.002244,500,658.255063
-32.00117,500,660.292719
-50.138956,500,671.958657
-88.4,500,680.795085
8.9,6,681.048477
-59.246388,500,683.291934
-50.35,500,692.123891
-32.107192,500,694.997373
5.207525,125,705.952091
-54.35,500,714.528507
-129.35,500,717.109441
-40.967788,500,719.222385
-32.992603,500,737.695611
-60.3,500,740.303135
-99.65,500,748.488025
13.788,120,749.713478
4.557347,236,750.556417
26.940033,30,750.853779
-98.306547,500,753.266512
8.2,6,753.512108
-10.358437,500,771.705288
-51.95,500,773.738481
-65.5,500,776.077899
-61.05,500,785.310546
-120.3,500,796.982234
-92.45,500,806.456486
-39.885226,500,808.623163
-26.264065,500,810.98862
-72.7,500,829.140542
-69.2,500,831.44093
-24.341853,500,839.594274
-60.55,500,842.334154
-95.1,500,854.656509
11.222069,53,861.785139
-59.686366,500,864.173131
10.044444,22,864.679553
-6.572048,500,867.032524
12.743822,6,867.262644
-51.562833,500,876.380038
-87.3,500,888.476542
-50.146937,500,897.000197
-101.392763,500,899.316465
-56.847562,500,901.583031
-62.95,500,918.537934
-17.777031,500,920.741512
-57.874283,500,928.885042
-40.470396,500,931.200532
-51.7,500,942.770635
3.153719,500,951.209497
-67.133412,500,953.342928
22.946354,49,953.670511
-101.8,500,962.235558
9.15,6,962.470227
-53.95,500,974.647673
-69.65,500,976.793814
-50.419698,500,985.512848
-49.973169,500,988.018757
0.756423,360,989.889558
-58.4,500,1007.88199
23.407459,34,1008.194527
-87.4,500,1010.576296
29.792604,500,1019.239181
-65.45,500,1021.638621
40.521902,479,1033.35924
-86.7,500,1041.976509
-68.700947,500,1044.653044
-65.967533,500,1053.370263
-54.1,500,1066.395311
-46.476386,500,1068.882059
37.464575,92,1076.1806
-45.95,500,1078.499609
-62.4,500,1080.723317
-67.695188,500,1099.82209
13.459746,500,1102.287064
-26.375609,500,1111.385257
-56.4,500,1113.91992
-61.55,500,1126.704731
-72.2,500,1136.197733
19.074409,500,1138.448729
-56.664733,500,1147.659865
-91.757862,500,1159.767028
20.472551,45,1160.090726
-37.800827,500,1162.968442
-59.115992,500,1172.203174
-94.6,500,1174.784858
-51.619587,500,1193.756146
-75.35,500,1196.344498
44.60469,139,1196.936348
-69.9,500,1206.000979
11.078415,90,1206.730336
16.357382,155,1207.797586
-40.679639,500,1219.514617
-39.869143,500,1228.138546
-124.25,500,1230.471727
7.217914,170,1231.735625
11.377125,22,1232.005715
-62.806523,500,1234.536524
-123.35,500,1252.861059
6.91555,500,1255.161734
7.708792,392,1263.089231
-84.75,500,1265.796304
-123.2,500,1277.110214
-89.7,500,1285.478862
-62.426524,500,1288.333783
-31.016034,500,1296.817931
-84.45,500,1308.312622
22.785145,67,1308.697968
79.311707,500,1311.362961
-40.968763,500,1319.321986
-111.95,500,1321.526084
-57.358096,500,1339.400244
-76.1,500,1341.801684
-55.88381,500,1343.91312
-60.75,500,1352.567031
9.223114,7,1352.806447
-33.130789,500,1364.398068
-15.478504,500,1373.115967
-41.593029,500,1375.688729
-59.169309,500,1377.82512
-34.035919,500,1396.627781
-66.493083,500,1399.071611
-70.005199,500,1408.043856
