#{"t_start": 1768629503.0473125, "env_id": "None"}
r,l,t
-74.842302,500,2.001566
-143.15,500,3.163456
-60.134176,500,8.354402
-50.40852,500,9.824279
-46.741572,500,15.527114
-42.875595,500,21.436066
19.631285,91,21.873939
-150.65,500,23.438269
-6.950658,355,29.594208
-139.05,500,36.681502
17.666654,152,37.496463
12.702558,10,37.692277
-130.95,500,43.48794
-143.35,500,45.286662
-130.55,500,47.503045
-134.0,500,61.281216
9.6,6,61.456903
10.645366,10,61.66113
-117.75,500,63.602612
-128.45,500,70.564882
16.313362,20,70.933708
13.762364,6,71.090792
16.624378,98,71.579707
8.0,6,71.750891
-135.05,500,79.417505
-33.953208,437,81.195466
15.210521,500,87.969421
-35.430815,500,89.924684
28.428498,253,90.914544
-131.75,500,105.318314
16.479369,41,105.562648
8.45,6,105.743113
19.370435,22,105.948666
9.4,6,106.13231
46.380799,218,107.066784
7.75,6,107.259148
-67.106796,500,109.321638
12.156124,6,109.504696
-95.121001,500,116.519785
-134.75,500,118.218314
-65.867359,500,132.507731
24.714711,55,132.991235
12.614416,19,133.224663
-109.95,500,135.155463
11.92697,167,135.884182
19.816669,89,136.441025
0.389534,228,143.601486
-50.623568,500,145.944849
-80.081844,500,157.201515
11.725094,15,157.437894
-137.35,500,165.489692
-54.138346,500,167.924255
-41.650148,500,175.954765
-10.20259,135,185.512921
8.9,6,185.739714
-11.956059,500,188.027621
-19.923457,341,189.493164
22.790885,101,190.13362
-91.159043,500,198.768601
-61.07127,500,200.974123
-67.771072,500,217.974076
-102.7,500,220.134597
-104.75,500,222.460187
-60.847469,500,231.132158
-52.601907,500,241.948536
2.671363,120,242.676721
22.224523,16,243.10057
-100.995558,500,252.372318
-103.5,500,254.980021
-86.35,500,272.859639
-121.2,500,275.266058
-82.5,500,277.890094
-50.932016,500,286.899888
-108.25,500,289.304887
-101.412482,500,307.811284
-34.592157,500,310.217014
-24.601646,500,312.30255
-145.55,500,320.744097
11.543989,76,321.12518
-57.07163,500,331.909302
-91.95,500,340.435247
-78.1,500,342.468515
-123.85,500,345.288565
-114.75,500,364.077518
-60.709346,500,366.627741
16.764218,46,366.936959
-66.823783,500,375.09964
-129.45,500,377.72984
-4.957782,500,389.318462
-54.544476,500,397.951045
9.65,6,398.176921
-31.714446,500,400.472461
3.797751,148,401.502529
-90.5,500,417.784071
10.448504,54,418.109544
-94.7,500,420.195976
-33.765341,500,428.559125
-75.2,500,430.745945
-87.1,500,441.759387
-70.05,500,449.666704
-51.70026,500,452.131306
-54.811245,500,460.801561
9.15,6,461.023497
-135.9,500,471.705413
-90.908705,500,473.599906
15.347657,67,473.93293
-91.950918,500,481.888281
15.080585,95,482.314659
-28.786021,500,484.845666
-73.95,500,501.875682
-148.3,500,503.903196
-56.3,500,512.500562
-48.2,500,514.979099
-119.9,500,526.194736
-84.595455,500,534.977473
-54.25,500,537.236627
-73.1,500,545.592896
-6.200054,500,557.59555
23.14023,19,557.877936
12.265199,33,558.169645
-34.817469,500,560.574731
-96.55,500,569.296846
-96.05,500,571.423048
-73.5,500,589.649496
-149.25,500,592.506639
12.975572,54,593.27082
-43.20752,500,595.499504
-137.3,500,603.65551
-78.55,500,615.384366
-107.15,500,623.89472
-53.107165,500,626.209685
-64.8,500,628.784635
-58.337719,500,637.550403
-0.277777,500,649.611183
-63.752276,500,657.871077
-34.206438,500,659.902941
-103.25,500,662.235881
-42.697901,500,680.421173
-82.7,500,682.865727
-80.75,500,691.71318
7.569193,103,692.607517
17.036861,78,693.515453
-45.412039,500,705.691874
-80.3,500,714.29303
-79.7,500,716.858497
-9.582872,411,718.523096
-71.204666,500,727.535915
25.717666,40,727.874527
16.732216,116,738.081081
-9.351204,500,740.622761
-77.3,500,748.867558
-50.5,500,751.720741
-58.45,500,764.111023
-115.9,500,772.711463
-24.570446,500,774.781366
-40.185404,500,783.835858
15.153942,9,784.249737
-47.2,500,795.918378
-96.75,500,798.589465
-19.272089,500,807.600826
-92.45,500,809.862986
-99.314687,500,818.53565
-107.05,500,830.228861
-93.137356,500,832.294125
-82.7,500,841.198645
-75.418885,500,843.51207
-92.6,500,862.764769
-61.1,500,865.348324
9.4,6,865.548479
-51.6,500,868.177703
-67.15,500,877.047478
20.106386,145,887.170751
-108.7,500,889.664069
-42.026488,500,898.017709
14.172802,73,898.621001
-69.115727,500,900.924634
-89.7,500,917.915484
-113.9,500,920.094272
-31.482348,500,922.288607
-35.360177,500,930.312101
-80.5,500,932.639254
-44.491558,500,950.295275
-1.550721,500,952.438611
