#{"t_start": 1768629503.0473125, "env_id": "None"}
r,l,t
-140.45,500,1.873312
-145.8,500,3.024174
7.331426,200,3.588792
11.597841,500,8.914486
-143.85,500,14.847578
-35.353873,500,20.698543
-15.104146,479,22.34817
-139.8,500,23.778097
-132.45,500,35.88352
-38.99995,439,38.023801
-146.65,500,43.829636
8.65,6,43.990198
-54.601651,500,45.474086
8.7,6,45.647434
-123.45,500,47.710017
-124.5,500,61.856707
-28.307567,500,63.763899
-84.146532,500,70.745882
-128.95,500,72.724906
-139.05,500,80.756862
-118.8,500,87.204403
8.497721,34,87.761771
-53.228541,500,89.337688
12.230481,11,89.535521
16.735228,11,89.719357
-111.5,500,97.162503
-85.162239,500,106.804514
-125.75,500,108.801671
-5.206264,500,116.010881
-45.293599,500,117.9129
-102.6,500,132.185719
-64.45282,500,134.457915
-98.507737,500,137.042835
-114.2,500,144.838539
7.95,6,145.059339
-112.5,500,156.713948
-72.658215,500,164.792132
10.678057,8,165.021584
-72.201883,500,167.419672
-54.286933,500,169.648629
-55.536363,500,186.745088
-146.95,500,189.007034
-60.79218,500,197.069476
23.899987,20,197.327986
8.65,6,197.567904
-140.55,500,200.383742
-67.554626,500,211.108637
-122.05,500,219.48345
-82.505805,500,221.805598
-83.01284,500,230.262276
-23.572367,500,241.089176
-72.16738,500,244.169905
11.482941,10,244.435195
-110.7,500,253.065485
8.947836,41,253.605057
5.981269,500,255.799431
-91.1,500,273.9029
-21.325572,400,275.829358
-98.645996,500,278.718184
27.824755,121,285.685576
-49.725862,500,288.263315
-92.65,500,299.572502
19.25696,69,300.025193
9.386817,62,300.438556
-128.6,500,309.744487
-84.0,500,311.810629
14.34584,240,313.239871
-76.0,500,330.233478
-102.5,500,332.637669
-67.7,500,340.762828
-100.2,500,343.03918
24.279187,140,344.407627
-63.450205,500,362.40437
8.9,6,362.641482
-116.6,500,365.228748
-61.456751,500,367.728462
-102.35,500,376.078366
-142.45,500,387.539747
-73.493032,500,396.440459
-9.154088,298,397.600656
-88.8,500,400.1597
-128.5,500,408.164425
-89.4,500,419.120973
-104.75,500,421.165551
-87.7,500,429.682944
-120.2,500,431.78403
-55.255864,500,448.701889
12.580879,6,448.923215
-82.3,500,451.332841
-30.606527,500,453.300465
20.731404,24,453.90916
8.9,6,454.135575
-88.85,500,462.046709
-127.084069,500,472.721109
-62.85,500,480.752135
-36.360761,500,482.996798
-127.8,500,485.493174
-82.2,500,502.569576
-104.55,500,504.766719
16.101473,12,505.003053
-69.85,500,513.244585
-73.596748,500,515.701846
-43.435063,500,527.134038
-78.686296,500,535.909693
1.659648,435,537.56552
-58.162576,500,545.96226
-72.55,500,558.394598
-133.65,500,560.801055
-69.05,500,569.517962
-94.05,500,571.666987
-95.1,500,589.876918
-28.930823,500,592.738323
14.035265,171,594.192715
-66.873286,500,602.247592
-32.925361,500,604.529372
11.554048,55,604.8633
-46.835144,500,616.034112
-48.110123,500,624.530936
-61.25,500,627.334956
-30.505056,500,636.0856
-52.909451,500,648.3575
-75.65,500,650.797866
-22.066952,500,658.963826
-67.03064,500,661.019555
-51.514088,500,679.395751
-27.885455,500,681.764526
13.623439,455,683.905344
-52.3,500,693.141876
-75.05,500,705.368945
-54.390951,500,713.945779
-43.033483,500,716.282117
8.9,6,716.528602
-134.0,500,718.86326
0.313783,173,719.969612
-66.3,500,738.699616
-17.570326,500,741.224011
-94.2,500,749.47248
15.766701,436,751.51472
-90.85,500,763.883149
-44.333319,500,772.481102
-74.608705,500,774.577029
-87.498175,479,783.288149
12.416278,17,783.559345
-105.347273,500,786.134052
-77.8,500,798.343178
-64.75,500,807.329595
-72.783111,500,809.599451
-59.6,500,818.269535
-82.75,500,829.983138
3.830939,311,831.144428
-31.806921,500,839.274688
17.0937,110,840.230137
38.771383,435,842.599553
-66.55,500,854.928592
15.303898,40,861.995445
-57.226791,500,864.403126
-16.949575,500,866.75246
12.37042,64,867.806728
-13.093952,257,875.387628
8.9,6,875.629542
-58.6,500,887.556921
-71.7,500,890.032299
-62.65,500,898.35989
-56.817441,500,900.667056
-108.85,500,917.672058
-73.4,500,919.848846
-43.343542,500,922.055621
-69.59235,500,930.052874
22.829709,36,930.578327
-22.911647,500,942.165378
-53.790944,500,950.581409
-73.8,500,952.71211
-80.27193,500,954.99768
-114.7,500,963.865537
-12.463733,500,975.775729
-88.45,500,984.497554
-81.2,500,986.9921
-73.45,500,989.193243
-34.782785,500,1007.028555
19.144743,50,1007.366764
-55.73828,500,1009.984455
-67.45,500,1018.382849
15.578799,49,1018.98
-58.55,500,1021.368966
-1.910529,449,1032.824318
-53.15,500,1041.385526
13.864382,190,1042.619749
-35.675529,500,1045.477478
24.147964,456,1064.628309
13.772487,47,1064.973745
32.698227,500,1067.217061
-33.290981,500,1076.967535
-89.65,500,1079.142023
-46.55,500,1091.649321
-58.65,500,1100.602824
-81.711907,500,1102.893013
-45.83666,500,1112.009369
-105.15,500,1114.632983
-45.516187,500,1127.335582
-97.25,500,1136.815913
-53.2,500,1139.261966
-71.85,500,1148.041883
-91.95,500,1160.344965
-36.567477,500,1163.224655
-69.75,500,1172.470939
1.027273,206,1173.469871
-66.7,500,1185.688682
5.26062,194,1193.318435
-102.3,500,1195.685351
4.086983,63,1196.074676
20.96902,500,1198.916692
-92.777345,500,1208.258765
-63.286522,500,1220.205239
-57.670046,500,1228.588551
-61.66205,500,1230.910952
15.943152,14,1231.147863
-28.477314,500,1233.534665
-65.45,500,1252.248886
-112.45,500,1254.729165
-39.047698,500,1263.357612
22.839151,14,1263.618392
-35.064882,500,1266.082807
-52.8,500,1277.409766
-90.35,500,1285.788235
17.721709,48,1286.128588
14.526386,6,1286.354279
6.31174,186,1287.198437
-74.8,500,1289.386995
-78.7,500,1297.969163
-68.659791,500,1309.853192
-99.2,500,1318.024615
-32.623429,500,1320.006998
13.772595,34,1320.498891
-104.0,500,1322.791908
53.940162,500,1340.750627
-89.59015,500,1342.83962
-84.9,500,1350.911685
51.833795,52,1351.831306
-55.270251,500,1354.152743
20.942006,289,1364.793796
-63.0,500,1373.557
-93.1,500,1376.080896
-90.792633,500,1378.865236
-67.335729,500,1397.516672
-58.45,500,1399.837937
-102.424148,500,1408.692664
-58.354145,500,1411.421123
-96.5,500,1423.774552
-60.95,500,1432.379883
-95.95,500,1434.795889
-52.666145,500,1443.093776
-65.45,500,1455.128964
-59.867021,500,1457.837464
-3.871411,500,1466.416893
-93.15,500,1468.572562
-49.706667,500,1477.022141
-63.45,500,1489.560433
-51.4,500,1492.012845
-44.7,500,1500.463633
21.941935,34,1500.996821
-15.42976,500,1503.124837
-48.271101,500,1521.409218
-68.55,500,1524.094681
-38.21141,500,1532.467675
-59.321042,500,1535.119268
-57.971371,493,1546.47891
6.156724,500,1554.84948
-54.091745,500,1557.091023
-103.15,500,1565.373575
15.536851,18,1565.863798
-54.35,500,1577.298369
-76.5,500,1579.752645
-46.8183,500,1588.260602
-54.7,500,1590.371742
-69.55,500,1608.868304
-0.258095,245,1610.008916
-72.45,500,1612.12275
3.544786,280,1613.690995
-51.111903,500,1622.021447
-11.217652,315,1633.028919
-60.744826,500,1635.114102
-73.95,500,1643.5598
-78.75,500,1645.841774
-41.25,500,1664.456861
-39.668212,500,1667.309236
-68.05,500,1669.716028
8.733643,193,1676.904704
-63.2,500,1679.016005
-89.6,500,1690.917778
-30.704017,500,1699.173768
-107.45,500,1701.682687
-61.917204,500,1710.32163
20.697332,500,1721.951098
-48.275551,500,1724.265525
-103.9,500,1732.699811
-91.399831,500,1734.865972
9.15,6,1735.099464
-63.65,500,1752.872424
-84.35,500,1755.281194
-121.2,500,1757.281081
-79.45,500,1765.344743
-50.785522,500,1776.591096
-87.246819,500,1784.883405
-43.453097,500,1786.917542
-72.4,500,1789.146868
-72.05,500,1806.577744
23.288393,100,1807.010567
-73.8,500,1809.247093
11.495623,198,1810.569149
28.947849,41,1811.080423
-43.986268,500,1819.189602
-46.0,500,1821.477547
-38.389858,500,1839.359287
17.616239,75,1840.032469
-123.25,500,1842.205067
13.475721,191,1843.077027
-58.074138,500,1851.354214
-0.810873,317,1853.202436
-70.5,500,1864.393946
30.68018,43,1864.981133
-39.02879,500,1873.440815
-53.65,500,1875.967515
52.682436,500,1884.430267
-113.4,500,1895.923696
10.024611,173,1897.265064
-42.465401,500,1899.399298
-65.080369,500,1907.728679
-36.289816,500,1910.109527
-46.95,500,1927.757689
-39.415558,500,1929.867078
-56.0,500,1932.221622
12.85062,126,1938.614628
-65.05,500,1949.738873
-76.2,500,1951.720521
-75.85,500,1960.365082
-61.4,500,1962.631016
-27.649529,500,1980.035324
21.171095,21,1980.315477
-71.25,500,1982.610853
-48.173461,500,1984.807735
-47.15,500,1993.150543
-20.800299,500,2004.868472
-52.4,500,2013.254946
-45.710017,500,2015.677768
-32.757546,500,2018.260544
8.311121,500,2026.733733
-73.7,500,2038.14775
-58.9,500,2046.67509
-105.931966,500,2048.897652
-70.25,500,2050.840348
-45.890371,500,2067.220232
-45.521106,500,2069.227615
17.324448,93,2069.840449
4.384468,221,2070.550504
-53.65,500,2078.928566
-59.7,500,2089.847258
-89.8,500,2097.970409
5.959031,236,2099.362637
-60.327536,500,2101.645395
23.347222,319,2103.235538
-36.340459,500,2120.308507
16.159976,128,2121.118691
-63.46242,500,2123.282924
-117.7,500,2131.718235
-54.404336,500,2134.09129
-64.8,500,2151.453777
-63.795849,500,2153.436913
3.6791,298,2154.801692
-53.2,500,2163.347853
-72.079435,500,2174.965931
-56.35,500,2177.034694
-21.688342,500,2185.755579
-96.35,500,2187.886078
4.823431,210,2188.837577
-38.276309,500,2206.927559
9.65,6,2207.169164
-102.5,500,2209.436116
-95.95,500,2217.707542
-65.096416,500,2220.141102
-54.75,500,2231.577725
-71.85,500,2239.917089
-41.299624,500,2242.530525
-42.928406,500,2250.760169
-73.275059,500,2263.169573
-65.2,500,2265.782429
-77.85,500,2274.587713
-25.124201,500,2276.562057
-63.35,500,2293.408492
-52.9,500,2295.753459
-52.6,500,2297.74535
-64.880757,500,2306.061046
-58.1,500,2308.936792
-44.45,500,2327.524672
-32.816527,500,2329.745919
23.378755,500,2332.615681
20.068394,27,2332.926692
-71.2,500,2341.705598
-90.2,500,2353.797359
-51.05,500,2362.945527
-73.411771,500,2365.633884
20.560251,71,2366.292656
-70.65,500,2368.983437
-41.719449,500,2388.24523
-61.8,500,2390.555066
-93.7,500,2399.243623
-33.659924,500,2401.388286
20.49245,26,2401.668573
-71.15,500,2413.882968
-50.962187,500,2422.853728
-56.63048,500,2425.226671
-34.322742,500,2434.981058
-54.632905,500,2448.158881
4.406958,201,2448.895494
-60.35,500,2457.619488
11.718778,41,2458.193053
-95.231011,479,2460.623129
-68.1,500,2472.263554
-97.25,500,2480.063121
-34.058097,500,2482.560518
-59.9,500,2490.390328
-104.05,500,2502.092749
-38.921593,500,2504.479465
-42.779111,500,2512.815971
-43.214911,500,2514.851335
-30.157644,500,2523.166691
-13.113606,319,2534.090218
-111.7,500,2536.230708
26.414171,479,2544.693474
-86.05,500,2547.103575
-68.5,500,2565.02788
-77.95,500,2567.241399
-9.441315,500,2569.416955
-31.894477,500,2577.375798
-90.1,500,2588.506769
12.428903,288,2589.898854
-65.312842,500,2598.258595
3.603848,188,2599.352993
-60.881375,500,2601.498509
-79.65,500,2619.108687
-66.279935,500,2621.24347
-45.066293,500,2623.694482
-37.053491,500,2632.427525
-2.980472,500,2644.111099
-22.458728,500,2652.430892
18.648776,108,2653.183681
-86.1,500,2655.54897
-91.55,500,2664.094248
23.437684,16,2664.375484
17.9489,92,2665.04692
-23.743628,500,2676.817952
-8.874653,380,2678.482101
-36.944981,500,2687.101066
-65.35,500,2689.88205
-58.85,500,2708.371764
-48.0,500,2710.627071
-56.482484,500,2712.984286
8.7107,259,2720.136991
17.285017,112,2720.617322
-35.416342,500,2722.734056
-91.9,500,2734.171408
-83.6,500,2742.507475
-52.493329,500,2744.610565
-80.45,500,2752.662394
-74.6,500,2764.011028
-52.703264,500,2766.442264
-125.55,500,2774.984265
-113.85,500,2777.127935
-40.749546,500,2794.588304
-40.7,500,2797.259049
-49.85,500,2799.534584
-65.9094,479,2807.536916
-2.393817,500,2818.784211
-22.244013,500,2827.291389
-42.580264,500,2829.311431
23.921133,500,2831.640022
-39.934381,500,2848.864483
-96.5,500,2850.825461
-71.9,500,2858.909903
-101.0,500,2861.267631
-60.647021,500,2872.634005
15.558142,201,2879.92352
-44.200009,500,2882.006815
-51.35,500,2884.188659
-44.2,500,2892.264516
-38.53896,500,2903.70698
-41.7,500,2911.69927
-85.213768,500,2913.784342
7.232137,500,2916.185549
-73.5,500,2933.856821
-54.5,500,2936.084258
-47.550613,500,2944.217534
-58.9,500,2946.323865
3.808782,417,2956.894474
-70.799284,500,2965.484748
0.7418,500,2967.739973
-44.7,500,2975.957629
-59.852117,500,2987.434425
-88.6,500,2989.6978
-50.329754,500,2998.28502
-75.85,500,3000.527507
-23.153647,500,3019.029028
-119.2,500,3021.715016
-32.676406,500,3024.262216
-76.55,500,3032.273257
-38.854618,500,3034.353859
-66.5,500,3051.395038
-61.702605,500,3053.675273
-96.75,500,3055.609859
-89.9,500,3063.877246
-59.301416,500,3075.78034
-44.643422,500,3084.452292
-20.589123,500,3086.645915
-108.989846,500,3089.05087
-121.95,500,3106.166706
-63.65,500,3108.15608
-41.209128,500,3116.654111
-73.05,500,3118.870645
-142.55,500,3130.090904
-110.85,500,3138.095433
-44.6,500,3140.071798
-29.059339,500,3148.054468
-72.598833,500,3159.292006
-36.147027,500,3161.216805
-104.6,500,3168.998713
-140.25,500,3171.369949
-16.476355,500,3188.681202
-52.65,500,3190.803069
-54.355679,500,3193.219928
-60.439426,500,3201.493587
-100.8,500,3212.636945
20.073972,114,3213.146841
16.682772,57,3213.691471
-22.781167,500,3222.421788
-51.75,500,3224.605298
-100.25,500,3227.001137
-55.4,500,3243.677516
-2.501063,329,3245.123312
-66.0,500,3253.393817
-41.307451,500,3255.674434
-42.2,500,3267.195266
-20.486687,500,3275.702138
-46.207005,500,3278.281072
-48.15,500,3286.745505
9.418712,202,3287.866936
-46.45,500,3299.202415
-123.6,500,3307.140222
-38.06587,500,3309.326005
54.953442,500,3311.54428
4.132721,265,3318.543269
-39.5,500,3330.030298
-45.917093,500,3332.151344
-25.552382,500,3340.947823
-134.4,500,3343.081074
-109.3,500,3360.537735
15.960836,67,3361.124187
-20.089455,500,3363.48069
-78.833484,500,3365.796821
-28.250893,500,3374.000997
9.650721,179,3383.381955
-18.963919,500,3385.34351
-50.85,500,3393.241085
-34.103135,479,3395.451288
-2.431246,500,3406.748607
-49.3,500,3415.180938
-50.570475,500,3417.519832
-73.35,500,3425.494636
-89.1,500,3427.836804
-52.302378,500,3439.047642
20.919265,84,3445.858288
-80.15,500,3447.755337
-33.069885,500,3449.706653
-15.793224,453,3457.431005
-16.132941,500,3467.902207
-86.95,500,3475.966887
-91.872569,479,3478.198642
-34.41479,500,3480.433589
-69.85,500,3497.029934
-26.301018,500,3499.448317
-36.860197,500,3507.261207
6.163937,332,3508.658169
